Date,Date Value,Open,High,Low,Close,Adj Close,Volume
2014-07-14,41834,104.279999,104.93,103.150002,103.260002,99.062721,733900
2014-07-15,41835,103.160004,103.620003,101.970001,102.739998,98.56385,1088200
2014-07-16,41836,103.199997,103.360001,102.389999,102.790001,98.611809,869100
2014-07-17,41837,102.459999,102.900002,100.629997,100.709999,96.616348,804900
2014-07-18,41838,100.769997,102.769997,99.980003,102.440002,98.276039,1131800
2014-07-21,41839,101.980003,102.410004,101.019997,101.419998,97.297508,1008900
2014-07-22,41840,103.809998,104.459999,101.339996,102.169998,98.017021,947900
2014-07-23,41841,102.269997,103.68,101.910004,103.160004,98.966782,1733800
2014-07-24,41842,99.279999,100.419998,98.400002,99.82,95.76255,2814600
2014-07-25,41843,99.519997,101.040001,99.290001,100.809998,96.712303,1474900
2014-07-28,41844,101.970001,102.029999,100.010002,100.57,96.482056,854300
2014-07-29,41845,100.650002,101.309998,100.010002,100.93,96.827415,1186900
2014-07-30,41846,101.300003,102.730003,101.279999,102.220001,98.06498,1821100
2014-07-31,41847,101.370003,102.370003,100,100.07,96.00238,1809700
2014-08-01,41848,100.080002,100.349998,99.019997,99.610001,95.561073,1020400
2014-08-04,41849,99.610001,100.220001,98.459999,100.139999,96.06955,799100
2014-08-05,41850,99.68,99.919998,98.129997,98.360001,94.361885,1125700
2014-08-06,41851,98.099998,98.410004,95.959999,96.349998,92.433594,2995200
2014-08-07,41852,97.019997,97.18,95.019997,95.309998,91.435883,1750700
2014-08-08,41853,95.669998,96.18,94.730003,96.080002,92.174568,1368900
2014-08-11,41854,96.57,96.959999,95.879997,96.32,92.404831,873900
2014-08-12,41855,96.150002,97.110001,95.800003,96.709999,92.778969,1556300
2014-08-13,41856,96.93,97.82,96.559998,97.68,93.709534,1034000
2014-08-14,41857,97.68,98.139999,97.400002,97.830002,93.853447,1428400
2014-08-15,41858,97.959999,98.150002,96.620003,97.480003,93.51767,1171400
2014-08-18,41859,97.879997,99.32,97.879997,99.309998,95.273277,1591900
2014-08-19,41860,99.610001,100.199997,99.410004,99.940002,95.87767,944000
2014-08-20,41861,99.82,100.300003,99.349998,99.809998,95.752945,1156900
2014-08-21,41862,99.980003,100.68,99.879997,100.620003,96.530037,630700
2014-08-22,41863,100.440002,100.790001,99.449997,99.489998,95.445946,1014300
2014-08-25,41864,100.239998,101.040001,99.980003,100.459999,96.376518,669800
2014-08-26,41865,100.540001,101.209999,100.400002,100.760002,96.664345,752200
2014-08-27,41866,100.860001,101.080002,99.720001,99.779999,95.724167,853300
2014-08-28,41867,99.309998,99.650002,99,99.449997,95.40757,714900
2014-08-29,41868,99.599998,99.599998,98.739998,99.309998,95.273277,1015700
2014-09-02,41869,99.720001,99.720001,98.809998,99.290001,95.254082,1037600
2014-09-03,41870,99.75,100.580002,99.419998,100.32,96.242218,1054000
2014-09-04,41871,100.730003,102.529999,100.230003,100.650002,96.558815,1193100
2014-09-05,41872,100.370003,101.080002,99.919998,101.07,96.961739,562900
2014-09-08,41873,101,101.330002,100.57,100.919998,96.817841,825800
2014-09-09,41874,101.559998,103.540001,101.559998,102.440002,98.276039,2060300
2014-09-10,41875,102.809998,104.980003,102.099998,104.75,100.492142,2027300
2014-09-11,41876,104.080002,105.379997,103.860001,105.230003,100.952644,1677400
2014-09-12,41877,104.989998,105.68,104.440002,104.940002,100.674438,1470000
2014-09-15,41878,104.93,104.93,104.190002,104.489998,100.242729,785300
2014-09-16,41879,104.309998,105.160004,103.760002,104.940002,100.674438,985800
2014-09-17,41880,104.889999,105.169998,103.57,103.970001,99.743851,1239500
2014-09-18,41881,104.230003,104.300003,103.580002,104.25,100.012482,1450500
2014-09-19,41882,104.68,104.919998,103.5,103.989998,99.763054,1243200
2014-09-22,41883,103.550003,103.959999,103.029999,103.699997,99.48484,1015200
2014-09-23,41884,102.230003,103.449997,102.099998,102.419998,98.256866,1388800
2014-09-24,41885,102.370003,103.980003,102.120003,103.629997,99.631691,1268900
2014-09-25,41886,103.239998,103.300003,101.25,101.25,97.343521,1915600
2014-09-26,41887,101.330002,102.139999,101.160004,101.660004,97.737701,965100
2014-09-29,41888,100.760002,101.699997,100.699997,101.459999,97.545403,605200
2014-09-30,41889,101.589996,101.830002,100.550003,100.550003,96.670532,1025300
2014-10-01,41890,100.629997,101.169998,99.5,100.760002,96.872429,1687100
2014-10-02,41891,100.940002,102.589996,98.870003,102.199997,98.256866,2721600
2014-10-03,41892,102.449997,102.93,102.169998,102.589996,98.631805,731300
2014-10-06,41893,103.370003,104.440002,102.389999,102.989998,99.016411,966900
2014-10-07,41894,102.5,102.760002,101.349998,101.400002,97.487732,684900
2014-10-08,41895,101.82,103.709999,101.209999,103.540001,99.545174,805500
2014-10-09,41896,103.129997,103.419998,101.519997,101.730003,97.805,1156700
2014-10-10,41897,102,103.720001,101.059998,101.080002,97.180077,882600
2014-10-13,41898,100.919998,101.050003,98.629997,98.730003,94.920731,1014300
2014-10-14,41899,99.230003,99.470001,97.18,97.540001,93.776657,1300900
2014-10-15,41900,95.809998,97.870003,95.330002,97.720001,93.949722,2268300
2014-10-16,41901,96,97.059998,95.75,95.949997,92.247986,1781700
2014-10-17,41902,96.860001,97.940002,96.620003,97.519997,93.757431,912800
2014-10-20,41903,97.559998,99.260002,97.089996,99.190002,95.362999,1101500
2014-10-21,41904,99.650002,101.43,99.629997,101.32,97.410805,1027200
2014-10-22,41905,101.839996,101.900002,99.879997,100.199997,96.334023,1335700
2014-10-23,41906,103.480003,106.300003,102.68,104.57,100.535423,1697600
2014-10-24,41907,104.57,105.5,104.550003,105.290001,101.227631,573900
2014-10-27,41908,105.169998,105.900002,104.720001,104.980003,100.929611,574700
2014-10-28,41909,105.620003,108.370003,105.239998,108.099998,103.929222,1701200
2014-10-29,41910,108.099998,108.949997,107.739998,108.150002,103.977287,1360000
2014-10-30,41911,107.970001,109.550003,107.510002,109.279999,105.063705,787400
2014-10-31,41912,110.349998,111.290001,110,111.239998,106.948074,1486200
2014-11-03,41913,111.18,111.5,109.5,110.410004,106.150131,789400
2014-11-04,41914,110.099998,110.629997,108.940002,109.209999,104.996414,1020100
2014-11-05,41915,110.470001,111.099998,109.440002,110.989998,106.70771,1196100
2014-11-06,41916,110.959999,111.360001,110.160004,110.190002,105.938599,741800
2014-11-07,41917,109.809998,110,107.809998,108.190002,104.015755,829800
2014-11-10,41918,108.610001,110.510002,108.199997,110.419998,106.159729,802100
2014-11-11,41919,110.489998,111.510002,109.769997,111.07,106.784645,568500
2014-11-12,41920,110.779999,111.029999,110.269997,110.870003,106.592354,783000
2014-11-13,41921,111.230003,111.230003,110.150002,110.610001,106.342384,811800
2014-11-14,41922,110.660004,110.830002,109.75,110.120003,105.871292,702700
2014-11-17,41923,110.120003,110.900002,109.940002,110.68,106.409691,964600
2014-11-18,41924,110.25,111.970001,110.139999,111.5,107.198036,688700
